pattern,count
adr-adr-propuesta-normalizar-ruta-término-detectado.md,537
integridad-idioma-migrations.md,263
integridad-idioma-scripts.md,238
integridad-idioma-create.md,207
integridad-idioma-migration.md,193
integridad-idioma-service.md,152
integridad-idioma-legacy.md,83
integridad-idioma-prompts.md,59
adr-adr-decisión-de-prueba.md,6
otro-branch-test.md,5
glosario-paridad-test.md,5
adr-adr-propuesta-migration-fix.md,5
otro-titulo en español.md,4
glosario-TerminoPrueba.md,4
glosario-create-service-template.md,2
glosario-test-api-1765931114134.md,1
glosario-test-api-1765930771374.md,1
glosario-test-api-1766001513884.md,1
glosario-test-api-1765930814169.md,1
glosario-test-api-1765932635458.md,1
glosario-test-api-1766001789243.md,1
glosario-spec.md,1
glosario-test-api-1765933404365.md,1
glosario-test-api-1765933468366.md,1
glosario-test-api-1766001468230.md,1
glosario-test-api-1765941509826.md,1
glosario-test-api-1765931656643.md,1
glosario-test-api-1766000379582.md,1
glosario-test-api-1765956271025.md,1
glosario-test-api-1766013685410.md,1
glosario-test-api-1765941528583.md,1
glosario-test-api-1765931695749.md,1
glosario-test-api-1765933820048.md,1
glosario-test-api-1765932909307.md,1
glosario-paridad-test-debug.md,1
glosario-test-api-1765955751813.md,1
glosario-test-api-1765933435493.md,1
glosario-test-api-1765931478613.md,1
glosario-PruebaRateLimit.md,1
glosario-test-api-1765930913868.md,1
glosario-test-api-1765955787243.md,1
glosario-test-api-1765955924696.md,1
glosario-test-api-1765955980344.md,1
glosario-test-api-1765931523924.md,1
otro-docker-compose.titan.yml.md,1
glosario-test-api-1765930949458.md,1
glosario-test-api-1765931057777.md,1
otro-create-adrs-template.md,1
glosario-template.md,1
glosario-test-api-1765929830193.md,1
glosario-test-api-1766000338352.md,1
glosario-test-api-1765955635916.md,1
glosario-test-api-1765955399242.md,1
glosario-test-api-1766015195179.md,1
