canonical,members,score,ejemplo,status
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-07-063Z-glosario-test.md",29581,0.9990196409857679,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-07-063Z-glosario-test.md",propuestas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-07-063Z-glosario-test.md",29581,0.9990196409857679,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-08-018Z-glosario-test.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-07-063Z-glosario-test.md",29581,0.9990196409857679,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-619Z-glosario-test.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-08-151Z-integridad-idioma-migrations.md",6116,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-13-095Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-08-151Z-integridad-idioma-migrations.md",6116,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-14-353Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-08-151Z-integridad-idioma-migrations.md",6116,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-29-449Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-04-968Z-integridad-idioma-migrations.md",5587,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-04-968Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-04-968Z-integridad-idioma-migrations.md",5587,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-09-601Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-04-968Z-integridad-idioma-migrations.md",5587,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-04-674Z-integridad-idioma-migration.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-090Z-integridad-idioma-migrations.md",4948,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-090Z-integridad-idioma-migrations.md",propuestas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-090Z-integridad-idioma-migrations.md",4948,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-10-786Z-integridad-idioma-migrations.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-090Z-integridad-idioma-migrations.md",4948,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-23-423Z-integridad-idioma-migrations.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-30-598Z-integridad-idioma-migrations.md",4787,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-18-355Z-integridad-idioma-scripts.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-30-598Z-integridad-idioma-migrations.md",4787,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-12-713Z-integridad-idioma-scripts.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-30-598Z-integridad-idioma-migrations.md",4787,0,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-06-849Z-integridad-idioma-scripts.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T18-50-01-115Z-glosario-spec.md",3720,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T18-50-01-115Z-glosario-spec.md",propuestas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T18-50-01-115Z-glosario-spec.md",3720,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-31-400Z-glosario-spec.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T18-50-01-115Z-glosario-spec.md",3720,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T03-20-45-220Z-glosario-spec.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T20-12-18-358Z-glosario-template.md",3373,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T20-12-18-358Z-glosario-template.md",propuestas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T20-12-18-358Z-glosario-template.md",3373,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T18-58-41-596Z-glosario-template.md",archivadas
"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T20-12-18-358Z-glosario-template.md",3373,1,"../documentacion-fuente-unica-verdad/glosario-biblioteca/propuestas/2025-12-17T21-20-17-745Z-glosario-template.md",archivadas
